Ref,Val,Package,PosX,PosY,Rot,Side
"D39","1N4148W","D_SOD-123",-137.700000,-155.710000,60.000000,bottom
"D40","1N4148W","D_SOD-123",-172.360000,-151.770000,120.000000,bottom
"D41","1N4148W","D_SOD-123",-193.007051,-147.533778,105.000000,bottom
"D42","1N4148W","D_SOD-123",-211.410000,-142.650000,105.000000,bottom
"SW44","SW_SPDT","CUS-12TB",-147.930000,-81.180000,0.000000,bottom
"J1","Conn_01x03","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",147.710000,-154.670000,180.000000,top
"J2","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",164.110000,-130.970000,180.000000,top
"SW1","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",31.672968,-65.648962,-15.000000,top
"SW2","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",51.100000,-66.775000,-15.000000,top
"SW3","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",70.550000,-67.825000,-15.000000,top
"SW4","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",89.975000,-68.900000,-15.000000,top
"SW5","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",107.350000,-77.700000,-15.000000,top
"SW6","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",124.700000,-86.500000,-15.000000,top
"SW7","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",170.900000,-86.490000,15.000000,top
"SW8","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",188.270000,-77.700000,15.000000,top
"SW9","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",205.625000,-68.900000,15.000000,top
"SW10","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",225.050000,-67.825000,15.000000,top
"SW11","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",244.525000,-66.750000,15.000000,top
"SW12","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",263.925000,-65.650000,15.000000,top
"SW13","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",26.750000,-84.050000,-15.000000,top
"SW14","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",46.182777,-85.169552,-15.000000,top
"SW15","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",65.600000,-86.225000,-15.000000,top
"SW16","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",85.050000,-87.325000,-15.000000,top
"SW17","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",102.425000,-96.100000,-15.000000,top
"SW18","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",119.780000,-104.890000,-15.000000,top
"SW19","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",175.830000,-104.890000,15.000000,top
"SW20","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",193.200000,-96.100000,15.000000,top
"SW21","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",210.550000,-87.325000,15.000000,top
"SW22","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",230.000000,-86.225000,15.000000,top
"SW23","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",249.400000,-85.125000,15.000000,top
"SW24","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",268.860000,-84.050000,15.000000,top
"SW25","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",21.825000,-102.450000,-15.000000,top
"SW26","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",41.260000,-103.570000,-15.000000,top
"SW27","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",60.690000,-104.630000,-15.000000,top
"SW28","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",80.125000,-105.700000,-15.000000,top
"SW29","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",97.480000,-114.510000,-15.000000,top
"SW30","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",114.850000,-123.300000,-15.000000,top
"SW31","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",180.770000,-123.280000,15.000000,top
"SW32","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",198.125000,-114.490000,15.000000,top
"SW33","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",215.475000,-105.700000,15.000000,top
"SW34","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",234.940000,-104.630000,15.000000,top
"SW35","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",254.360000,-103.570000,15.000000,top
"SW36","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",273.780000,-102.460000,15.000000,top
"SW37","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",91.350000,-139.490000,-15.000000,top
"SW38","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",109.750000,-144.425000,-15.000000,top
"SW39","SW_PUSH","SW_Hotswap_Kailh_MX_1.25u_90deg",130.920000,-150.600000,-30.000000,top
"SW40","SW_PUSH","SW_Hotswap_Kailh_MX_1.25u_90deg",164.680000,-150.600000,30.000000,top
"SW41","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",185.850000,-144.420000,15.000000,top
"SW42","SW_PUSH","SW_Hotswap_Kailh_MX_1.00u",204.270000,-139.490000,15.000000,top
"SW43","SW_PUSH","SW_SPST_PTS645",147.780000,-115.410000,0.000000,top
